iter	PrecisionAt:top=5	Logloss
708	0.5776785714	0.2670350087
709	0.5776785714	0.2670217582
710	0.5785714286	0.2669643291
711	0.5803571429	0.2668967324
712	0.5785714286	0.2668399297
713	0.5785714286	0.2667460564
714	0.5785714286	0.2667020993
715	0.5776785714	0.2666555615
716	0.5776785714	0.2665691004
717	0.5776785714	0.2665504073
718	0.5776785714	0.2665042907
719	0.5785714286	0.2664476718
720	0.5794642857	0.2663775227
721	0.5794642857	0.2663329831
722	0.5794642857	0.2663133136
723	0.5785714286	0.2662108897
724	0.5776785714	0.2661286722
725	0.5776785714	0.2660720861
726	0.5776785714	0.2660284148
727	0.5767857143	0.2659403275
728	0.5776785714	0.2658742482
729	0.5776785714	0.2658330128
730	0.5785714286	0.2657856471
731	0.5776785714	0.2656969097
732	0.5785714286	0.2656479635
733	0.5776785714	0.2656008567
734	0.5767857143	0.2655389814
735	0.5767857143	0.265485461
736	0.5767857143	0.2654593717
737	0.5767857143	0.2654113202
738	0.5776785714	0.2653396834
739	0.5776785714	0.2652487533
740	0.5767857143	0.2651709591
741	0.5785714286	0.265091445
742	0.5794642857	0.2650190735
743	0.5794642857	0.2650016234
744	0.5794642857	0.2649427312
745	0.58125	0.2649051932
746	0.58125	0.2648939402
747	0.5830357143	0.264816397
748	0.5839285714	0.2647529366
749	0.5839285714	0.2646600792
750	0.5848214286	0.2646237892
751	0.5857142857	0.2645005026
752	0.5857142857	0.2644526001
753	0.5875	0.2643710069
754	0.5883928571	0.2643061066
755	0.5875	0.2642676516
756	0.5875	0.2642431661
757	0.5875	0.264209754
758	0.5892857143	0.2641531323
759	0.5892857143	0.2641419855
760	0.5875	0.2640548058
761	0.5892857143	0.2639456186
762	0.5892857143	0.2639326335
763	0.5892857143	0.2638637914
764	0.5892857143	0.263759005
765	0.5892857143	0.2636932511
766	0.5892857143	0.2636269938
767	0.5892857143	0.2635718678
768	0.5892857143	0.2634929027
769	0.5883928571	0.2634272459
770	0.5883928571	0.2633460949
771	0.5875	0.2632375883
772	0.5866071429	0.263164935
773	0.5866071429	0.2631023858
774	0.5875	0.2630263192
775	0.5883928571	0.2629278899
776	0.5875	0.2628823824
777	0.5875	0.2628551319
778	0.5875	0.2628389681
779	0.5875	0.2627597574
780	0.5875	0.2627109111
781	0.5875	0.2626411217
782	0.5883928571	0.2625685223
783	0.5883928571	0.2624860351
784	0.5883928571	0.2624378375
785	0.5883928571	0.262405587
786	0.5875	0.2623490866
787	0.5892857143	0.2622696041
788	0.5892857143	0.262169716
789	0.5892857143	0.2621036637
790	0.5892857143	0.2620668407
791	0.5892857143	0.2620230319
792	0.5892857143	0.2619809928
793	0.5883928571	0.2619429662
794	0.5910714286	0.2618770942
795	0.5928571429	0.2618015907
796	0.5928571429	0.2617136598
797	0.59375	0.2616302753
798	0.59375	0.261549779
799	0.59375	0.2614962237
800	0.5928571429	0.2614285975
801	0.5919642857	0.2613313051
802	0.5919642857	0.2612936012
803	0.5928571429	0.2612116433
804	0.5946428571	0.2611378375
805	0.5955357143	0.2610627776
806	0.5955357143	0.2609683941
807	0.5955357143	0.260921489
808	0.5973214286	0.2608392813
809	0.5964285714	0.2607464905
810	0.5964285714	0.2607026047
811	0.5964285714	0.2606566643
812	0.5964285714	0.2605695499
813	0.5964285714	0.2605152456
814	0.5964285714	0.2604457778
815	0.5955357143	0.2604322736
816	0.5964285714	0.2603704382
817	0.5973214286	0.2602555122
818	0.59375	0.2601653413
819	0.5973214286	0.2600776047
820	0.5973214286	0.2600605421
821	0.5973214286	0.2599867096
822	0.5982142857	0.2599270337
823	0.5982142857	0.2598748228
824	0.5982142857	0.2598168568
825	0.6008928571	0.2597488277
826	0.6017857143	0.2597258671
827	0.6035714286	0.2596657702
828	0.6071428571	0.2595862808
829	0.6071428571	0.2595099885
830	0.6071428571	0.2594957607
831	0.6080357143	0.2594544811
832	0.6089285714	0.259410885
833	0.6089285714	0.2594019998
834	0.6098214286	0.2593144871
835	0.6107142857	0.2592402757
836	0.6107142857	0.2591639933
837	0.6107142857	0.2591374267
838	0.6116071429	0.2590843329
839	0.6116071429	0.2590129675
840	0.6107142857	0.2589268471
841	0.6089285714	0.2588492518
842	0.6089285714	0.2587909939
843	0.6089285714	0.258726298
844	0.6107142857	0.2586635104
845	0.6098214286	0.2586080095
846	0.6098214286	0.2585426951
847	0.6107142857	0.2584865236
848	0.6142857143	0.2583744079
849	0.6160714286	0.2582792221
850	0.6178571429	0.2582318486
851	0.6169642857	0.258181274
852	0.6178571429	0.2581350969
853	0.6178571429	0.2580727672
854	0.6151785714	0.2579990198
855	0.6160714286	0.2579206522
856	0.6169642857	0.257854545
857	0.6214285714	0.2577897674
858	0.6223214286	0.257730225
859	0.6223214286	0.2576927723
860	0.6223214286	0.2576486629
861	0.6214285714	0.2575655184
862	0.6214285714	0.2575476452
863	0.6214285714	0.2575173469
864	0.6205357143	0.257430793
865	0.6205357143	0.2573981246
866	0.6214285714	0.2573569041
867	0.6223214286	0.2572961518
868	0.6232142857	0.257246501
869	0.6223214286	0.2571899681
870	0.6223214286	0.2571480144
871	0.6214285714	0.2570648882
872	0.6214285714	0.2570557877
873	0.6214285714	0.2569960059
874	0.6214285714	0.2569521284
875	0.6241071429	0.2568456875
876	0.6241071429	0.2567930455
877	0.6241071429	0.2567696007
878	0.6241071429	0.256712996
879	0.6241071429	0.2566596145
880	0.6232142857	0.2565979379
881	0.6232142857	0.256540742
882	0.6223214286	0.2564778017
883	0.6214285714	0.2564462262
884	0.6205357143	0.2563894084
885	0.6223214286	0.2563468121
886	0.6241071429	0.2562603761
887	0.6267857143	0.2561785831
888	0.6258928571	0.2561142684
